component_id	kind	repo_or_source	commit_or_sha256	path_or_url
V-01	doc	(vendor public document)	16b81274d56f	https://learn.microsoft.com/en-us/dynamics365/customer-service/use/oc-monitor-real-time-customer-sentiment-sessions
V-02	doc	(vendor public document)	25bb429a3be9	https://www.qualtrics.com/support/xm-discover/data-enrichments/sentiment-discover/
V-03	doc	(vendor public document)	e1d27b239b27	https://www.qualtrics.com/support/survey-platform/data-and-analysis-module/text-iq/sentiment-analysis/
V-04	doc	(vendor public document)	df8175a95bf6	https://support.zendesk.com/hc/en-us/articles/4685355428250-Viewing-intelligent-triage-predictions-in-tickets
V-05	doc	(vendor public document)	732501677abc	https://noldus.com/download/document/facereader-technical-specifications
V-06	doc	(vendor public document)	c24c6ded6c46	https://www.morphcast.com/how-to-interpret-the-emotion-ai-output-data/
C-01	repo	serengil/deepface	a2a24a748d67ab7ba19ee8813584f123c8b48747	deepface/models/demography/Emotion.py
C-01	repo	serengil/deepface	a2a24a748d67ab7ba19ee8813584f123c8b48747	deepface/modules/streaming.py
C-02	repo	openvinotoolkit/open_model_zoo	4d4266fbbb7eb5ab80944c2800d7f304868d573d	demos/interactive_face_detection_demo/cpp/visualizer.cpp
C-02	repo	openvinotoolkit/open_model_zoo	4d4266fbbb7eb5ab80944c2800d7f304868d573d	visualizer.hpp
C-03	repo	cosanlab/py-feat	64ed4b172da1f2e5beb40b8c9692c40a39daf651	feat/data.py
C-03	repo	cosanlab/py-feat	64ed4b172da1f2e5beb40b8c9692c40a39daf651	feat/utils/__init__.py
C-03	repo	cosanlab/py-feat	64ed4b172da1f2e5beb40b8c9692c40a39daf651	feat/version.py
C-04	repo	justadudewhohacks/face-api.js	a86f011d72124e5fb93e59d5c4ab98f699dd5c9c	src/draw/drawFaceExpressions.ts
C-04	repo	justadudewhohacks/face-api.js	a86f011d72124e5fb93e59d5c4ab98f699dd5c9c	src/faceExpressionNet/FaceExpressions.ts
C-04	repo	justadudewhohacks/face-api.js	a86f011d72124e5fb93e59d5c4ab98f699dd5c9c	src/utils/index.ts
C-05	repo	ros4hri/hri_visualization	cad9b32d088f62e7701608559c83b154229672c5	hri_visualization/visualization.py
C-06	repo	justinshenk/fer	83a3627a314ef23be501a02c0356cc1d47d44b70	src/fer/fer.py
C-06	repo	justinshenk/fer	83a3627a314ef23be501a02c0356cc1d47d44b70	src/fer/utils.py
C-07	repo	codertheashish/Emotion-Detection	51b90f0963d77f80576ba563d0f0d4b6a2e1e36c	components/buildBars.js
C-07	repo	codertheashish/Emotion-Detection	51b90f0963d77f80576ba563d0f0d4b6a2e1e36c	components/updateUI.js
C-07	repo	codertheashish/Emotion-Detection	51b90f0963d77f80576ba563d0f0d4b6a2e1e36c	utils/emotions.js
C-08	repo	susantabiswas/realtime-facial-emotion-analyzer	e9d5ee19aebe7602de91ba57ade15a6655944ed6	emotion_analyzer/emotion_detector.py
C-08	repo	susantabiswas/realtime-facial-emotion-analyzer	e9d5ee19aebe7602de91ba57ade15a6655944ed6	emotion_analyzer/media_utils.py
C-09	repo	Samarth-Kumar-Samal/Text-Emotion-Classification-using-NLP	6b5b22c29509f2fbff89abeeb9c3dc9fb92a7875	app.py
C-10	repo	face-analysis/emonet	49eef301513686d6cfd8304682d3ba7216baf398	demo_video.py
C-11	repo	ryomo/emo	5ff1b261b49eef1cd7cddbfc9f5b6c64f2e1e9f7	src/components/emotion/EmotionDisplay2D.vue
C-11	repo	ryomo/emo	5ff1b261b49eef1cd7cddbfc9f5b6c64f2e1e9f7	src/types/emotion.ts
S1-03	repo	PunithVT/ai-avatar-system	8c6de705ae1748af3cb1acf853bd405033eaaa68	frontend/components/ChatInterface.tsx
S1-05	repo	Emotion-Cognizant/ghackathon	ea521cd2c5be87c2a9b539927594eb9101390896	templates/showdata.html
S1-07	repo	carluqcor/EmotionFaceRecognition	45fdfb1ebc3c5db67a64cba5b2fbb6ac6d7cbf86	Executables/demo.py
S1-09	repo	filmicaesthetic/Art-and-Music	7859799b4e99ffa8e2e5bc2cecbe996453aba6ac	Poetry Analysis/Visual Emotions/app.R
S1-11	repo	chirag03200/AI-ML-by-Cynbit	59afa01c4627b786b07fa7e0771883aeefd2e47f	Emotion-detector App/emotion.py
S1-14	repo	woodyk/Symbiote	103b11933add6bd339bdbba13e48e100c985bb8e	docs/reference/microexpression.py
